Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2006,"Lincoln, NE",1,Manhattan,4,4,Nebraska,1,1
2006,"Lincoln, NE",2,Miami,11,2,San Francisco,2,3
2006,"Lincoln, NE",3,San Francisco,5,3,Nebraska,1,1
2006,"Lincoln, NE",4,Miami,8,2,Manhattan,2,4
2006,"Lincoln, NE",5,Manhattan,6,4,San Francisco,4,3
2006,"Lincoln, NE",6,Miami,10,2,Manhattan,4,4
2006,"Oxford, MS",1,South Alabama,7,3,Tulane,1,2
2006,"Oxford, MS",2,Mississippi,3,1,Bethune-Cookman,2,4
2006,"Oxford, MS",3,Tulane,12,2,Bethune-Cookman,7,4
2006,"Oxford, MS",4,Mississippi,9,1,South Alabama,7,3
2006,"Oxford, MS",5,Tulane,18,2,South Alabama,11,3
2006,"Oxford, MS",6,Mississippi,12,1,Tulane,4,2
2006,Houston,1,Rice,6,1,Prairie View A&M,5,4
2006,Houston,2,Baylor,3,3,Arizona St.,2,2
2006,Houston,3,Arizona St.,13,2,Prairie View A&M,4,4
2006,Houston,4,Rice,7,1,Baylor,2,3
2006,Houston,5,Baylor,7,3,Arizona St.,2,2
2006,Houston,6,Rice,7,1,Baylor,4,3
2006,"Norman, OK",1,Wichita St.,2,3,Houston,1,2
2006,"Norman, OK",2,TCU,6,4,Oklahoma,5,1
2006,"Norman, OK",3,Oklahoma,8,1,Houston,6,2
2006,"Norman, OK",4,Wichita St.,18,3,TCU,8,4
2006,"Norman, OK",5,Oklahoma,15,1,TCU,6,4
2006,"Norman, OK",6,Oklahoma,12,1,Wichita St.,7,3
2006,"Norman, OK",7,Oklahoma,7,1,Wichita St.,6,3
2006,"Athens, GA",1,Florida St.,18,2,Jacksonville,0,3
2006,"Athens, GA",2,Georgia,11,1,Sacred Heart,0,4
2006,"Athens, GA",3,Jacksonville,4,3,Sacred Heart,3,4
2006,"Athens, GA",4,Florida St.,6,2,Georgia,4,1
2006,"Athens, GA",5,Georgia,15,1,Jacksonville,7,3
2006,"Athens, GA",6,Georgia,7,1,Florida St.,1,2
2006,"Athens, GA",7,Georgia,3,1,Florida St.,2,2
2006,"Charlottesville, VA",1,Virginia,11,1,Lehigh,5,4
2006,"Charlottesville, VA",2,South Carolina,4,2,Evansville,2,3
2006,"Charlottesville, VA",3,Evansville,10,3,Lehigh,6,4
2006,"Charlottesville, VA",4,South Carolina,8,2,Virginia,2,1
2006,"Charlottesville, VA",5,Evansville,15,3,Virginia,4,1
2006,"Charlottesville, VA",6,Evansville,15,3,South Carolina,5,2
2006,"Charlottesville, VA",7,South Carolina,5,2,Evansville,1,3
2007,Nashville,1,Michigan,10,2,Memphis,7,3
2007,Nashville,2,Vanderbilt,2,1,Austin Peay,1,4
